0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
-45.329163,-36.348114,-28.609415,-26.8054,-25.323574,-25.383663,-26.263227,-35.288506,-42.08907,-37.612377,-35.02018,-33.049286,-15.644324,-19.832867,-28.325834,-32.082615,-41.8985,-35.727295,-33.848564,-33.45765,-30.8949,-22.97831,-36.649685,-46.00444,-36.886223,-29.654392,-27.842566,-32.72306,-28.22845,-33.57878,-41.677383,-44.537155,-53.630814,-34.87463,-37.669975,-66.31609,-33.42617,-33.629677,-19.89599,-21.801535,-24.72145,-23.123466,-22.91884,-36.339985,-69.95599,-40.54893,-38.999367,-47.618538,-47.789482,-43.68238,-44.803207,-38.64412,-43.778057,-43.28189,-53.0914,-40.535316,-38.57267,-57.82363,-61.902588,-45.902435,-63.044304,-43.278427,-30.331478,-31.0466,-35.158546,-50.16532,-50.28591,-57.170837,-71.440796,-68.07809,-58.58383,-52.023697,-38.18988,-41.399483,-46.1212,-43.61187,-44.41591,-50.39186,-51.88282,-47.806458,-48.674797,-44.379715,-47.932587,-60.597137,-74.85695,-80.0,-78.35911,-60.493652,-64.277054,-71.98326,-53.776146,-47.263435,-45.983543,-53.866962,-64.25922,-57.310547,-64.415825,-62.05385,-65.902466,-73.10664,-61.7865,-68.44818,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-38.325325,-56.606384,-34.76027,-46.512146,-34.75996,-33.291237,-37.125195,-52.784046,-44.52324,-32.545845,-28.666382,-21.759247,-13.740263,-21.388365,-43.57724,-37.445854,-54.63983,-32.179092,-21.851208,-24.165173,-33.407413,-19.872326,-27.660633,-59.571648,-63.263084,-59.894577,-51.280853,-34.45122,-28.503193,-31.688147,-43.623085,-52.744488,-42.56408,-39.689926,-31.170116,-28.655098,-46.426003,-25.324795,-24.044554,-23.426472,-36.0094,-32.850586,-26.941397,-39.80394,-55.42913,-40.569008,-36.70261,-52.788452,-64.05583,-40.96853,-36.88912,-62.10224,-49.852806,-49.352135,-52.77619,-44.299553,-50.284523,-53.5663,-53.39006,-53.95269,-57.40953,-61.36022,-43.85665,-66.58707,-45.714516,-47.71376,-60.547775,-80.0,-68.29564,-71.30888,-64.18207,-54.099762,-44.553986,-46.393036,-62.23004,-52.252495,-60.72419,-53.723724,-54.02694,-62.242798,-70.870346,-56.40052,-51.529335,-66.12179,-65.344765,-70.12647,-64.16953,-75.19006,-77.0918,-73.16628,-76.20596,-54.4772,-51.873642,-54.594494,-56.727463,-65.76069,-65.23104,-71.29371,-73.797485,-80.0,-69.41925,-69.280716,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-38.448296,-38.119854,-40.053703,-38.288292,-40.891335,-66.458275,-69.12422,-52.11571,-50.397686,-52.236835,-32.69351,-39.170383,-20.52645,-24.44712,-35.71975,-54.451347,-52.92649,-33.15249,-27.290243,-31.14861,-32.99425,-17.930336,-19.400902,-32.46102,-35.600338,-37.2377,-41.584946,-38.36962,-43.46702,-56.962868,-41.779526,-61.253166,-54.69137,-53.22259,-34.62903,-21.550596,-23.361576,-19.3448,-32.85884,-28.381409,-62.647087,-33.995846,-47.639915,-44.103424,-40.84736,-46.880447,-48.639687,-46.94863,-50.20322,-36.46218,-37.86629,-48.06297,-73.94781,-56.656876,-56.116203,-53.878128,-80.0,-63.437737,-61.083397,-65.38126,-70.82228,-68.79864,-46.815895,-47.511314,-60.257607,-80.0,-61.851944,-75.76536,-80.0,-80.0,-74.233116,-80.0,-58.508003,-53.931133,-58.663567,-63.066727,-70.76851,-80.0,-80.0,-71.719666,-80.0,-80.0,-62.82129,-67.48003,-61.182648,-58.0438,-60.942154,-66.19256,-69.57576,-80.0,-80.0,-73.75553,-76.578636,-80.0,-64.37072,-80.0,-79.69881,-80.0,-80.0,-80.0,-77.91598,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-40.83082,-48.80741,-56.421326,-73.65993,-47.037285,-52.466805,-72.573235,-69.88414,-68.138855,-50.11802,-46.62207,-39.0984,-28.156673,-38.24009,-42.33388,-46.38018,-80.0,-43.249763,-50.817375,-69.33722,-30.63781,-20.074345,-25.527067,-34.88273,-37.144123,-31.8483,-30.214647,-45.836563,-52.713238,-43.040756,-50.42724,-74.28357,-53.691032,-49.43059,-35.211258,-24.95777,-22.296627,-16.559504,-22.016005,-25.60724,-25.992579,-28.83714,-31.19119,-28.259445,-36.44786,-72.12036,-80.0,-55.424988,-43.98519,-41.560463,-67.11269,-45.71557,-52.624245,-54.41147,-54.827965,-56.807365,-59.959442,-80.0,-74.956055,-78.40523,-58.430542,-46.479275,-42.536045,-56.570953,-74.41669,-61.795288,-76.707275,-72.99672,-76.17868,-80.0,-80.0,-70.222626,-78.51302,-65.21425,-80.0,-68.45538,-78.71689,-80.0,-80.0,-78.652336,-80.0,-80.0,-77.12697,-65.452286,-74.67134,-66.401306,-80.0,-74.37046,-70.74257,-80.0,-80.0,-80.0,-80.0,-68.154434,-73.721405,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-44.96691,-54.959175,-80.0,-60.70826,-47.672424,-51.39852,-80.0,-76.876656,-72.63635,-56.23806,-63.479393,-43.24862,-40.742973,-34.093513,-42.67357,-46.64554,-51.137558,-68.726295,-54.18788,-69.26358,-35.80902,-29.885355,-60.70063,-51.96125,-51.588158,-59.49301,-33.030975,-37.79122,-58.665573,-42.813442,-44.37748,-59.49137,-53.12841,-48.59543,-37.45149,-32.886726,-34.230175,-20.569935,-42.52288,-32.07077,-31.826252,-29.604198,-37.287354,-28.184055,-37.047493,-60.122658,-71.79194,-62.808952,-57.149437,-44.70128,-52.35164,-58.412834,-58.894333,-63.698303,-61.377365,-59.41021,-60.70204,-79.231895,-75.484985,-80.0,-66.867935,-43.57643,-46.246162,-80.0,-56.01882,-58.214394,-77.02331,-79.76579,-80.0,-77.75331,-74.649536,-71.12238,-76.011314,-80.0,-72.723274,-71.502975,-80.0,-80.0,-77.908356,-73.39021,-80.0,-80.0,-80.0,-70.656586,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-73.92109,-69.97887,-80.0,-77.45412,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-48.251,-55.208183,-60.849686,-53.89778,-51.895393,-61.432198,-67.31442,-63.86145,-80.0,-66.23511,-57.42531,-40.225708,-46.119015,-37.26693,-49.79017,-52.7006,-59.362778,-68.23579,-49.788815,-48.406197,-46.310265,-36.864613,-48.60343,-53.598366,-49.16314,-46.87856,-42.47957,-38.246304,-53.51178,-57.46762,-41.670418,-44.66838,-45.423378,-48.444298,-41.849667,-39.118614,-32.699768,-28.40395,-29.024918,-32.955177,-36.330757,-30.107307,-34.323673,-40.155315,-50.757126,-58.865936,-68.81215,-52.080544,-49.321594,-62.562492,-48.294567,-60.666878,-56.741165,-59.22152,-59.422203,-55.6049,-56.378708,-59.98104,-61.46971,-66.99135,-62.0562,-47.974888,-51.843864,-58.27356,-55.52437,-60.378815,-75.19514,-80.0,-80.0,-79.93551,-80.0,-73.32256,-70.62446,-77.37276,-68.857056,-70.83342,-72.60289,-80.0,-72.27911,-69.71436,-80.0,-80.0,-70.2293,-69.6726,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-71.757034,-67.87392,-73.44452,-69.79856,-73.941536,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-51.87217,-70.47733,-61.664047,-67.37624,-63.636017,-78.88599,-80.0,-55.76918,-52.70685,-52.83735,-46.801266,-36.898697,-36.056168,-44.86872,-48.615562,-52.6886,-59.616547,-61.9953,-56.181396,-41.9524,-33.524364,-39.64773,-64.52505,-66.60167,-52.373997,-52.285,-63.67872,-45.078827,-44.958397,-54.160225,-51.214478,-53.641006,-59.135612,-55.14813,-50.404514,-51.56314,-41.3736,-35.730385,-41.545483,-31.744598,-36.789093,-33.358425,-32.681183,-40.84781,-60.292404,-72.365715,-80.0,-53.010086,-41.25501,-42.43928,-44.35269,-54.382416,-76.25666,-70.43746,-80.0,-69.83613,-68.7924,-57.755287,-54.26146,-62.57804,-66.60024,-57.463257,-66.02788,-60.769485,-71.71951,-73.110535,-78.1915,-75.07148,-80.0,-76.51243,-80.0,-80.0,-80.0,-72.58457,-73.41151,-80.0,-77.954544,-75.42954,-79.210915,-72.49987,-78.766304,-80.0,-69.04236,-76.59255,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-74.317764,-78.42057,-74.45139,-79.85901,-74.497635,-77.44652,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-52.243034,-65.137,-67.84419,-60.10707,-57.25058,-55.218094,-54.68586,-51.85182,-72.63637,-46.326324,-42.738613,-52.20063,-46.598213,-58.454132,-60.75966,-65.208534,-58.33689,-59.498825,-57.92504,-42.221947,-38.43229,-34.410446,-56.783806,-53.711617,-42.438126,-48.928673,-80.0,-55.08126,-52.08174,-49.133045,-70.476234,-55.216724,-49.166534,-50.868984,-62.417725,-64.02108,-42.336777,-32.95035,-33.25761,-40.34948,-50.964157,-44.867413,-45.151123,-36.80397,-60.429214,-80.0,-80.0,-57.28186,-39.61066,-37.742332,-53.345406,-70.90955,-64.44717,-74.84813,-80.0,-80.0,-80.0,-63.757637,-56.931503,-80.0,-80.0,-67.41391,-57.903717,-61.49347,-66.34206,-76.89033,-79.51645,-73.03309,-67.89897,-69.59001,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.07697,-72.85633,-80.0,-76.57033,-76.6751,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-51.320404,-56.254143,-69.13136,-67.374626,-63.242493,-56.590347,-53.20108,-60.455307,-53.749958,-44.923134,-66.09212,-57.378937,-48.89795,-49.66557,-51.19764,-47.96665,-59.32406,-68.05362,-48.067604,-43.251015,-46.454987,-33.666992,-38.201794,-42.765907,-46.15702,-52.774864,-59.883987,-66.83948,-65.5135,-51.160767,-67.41397,-52.590687,-50.22162,-66.38816,-67.63925,-54.293358,-39.80109,-42.59652,-50.20636,-54.127373,-49.525654,-42.63845,-35.85107,-41.177406,-60.393578,-80.0,-72.754555,-72.32876,-44.44462,-51.460114,-58.412285,-67.27708,-66.37478,-69.34404,-76.68115,-73.24823,-67.45242,-54.00917,-55.45346,-72.25909,-80.0,-68.57346,-64.612816,-80.0,-73.19858,-80.0,-80.0,-80.0,-73.106155,-80.0,-76.66489,-80.0,-80.0,-80.0,-80.0,-80.0,-75.184265,-76.535934,-80.0,-80.0,-80.0,-80.0,-80.0,-76.253456,-77.426605,-77.96047,-79.59464,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-75.9436,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-56.466026,-56.5912,-75.35065,-77.97098,-66.45164,-58.728218,-62.277176,-69.9633,-55.624268,-49.792778,-46.082817,-45.108276,-48.193237,-65.413055,-56.432625,-45.699554,-48.686195,-49.90458,-39.77632,-38.997154,-50.370773,-38.516083,-45.054398,-49.101948,-67.327286,-80.0,-57.004265,-62.337486,-46.241028,-47.508644,-66.01708,-60.966858,-63.78763,-80.0,-64.05141,-49.932854,-44.85131,-48.43801,-66.71475,-61.171196,-58.02952,-54.88143,-39.716755,-58.621475,-67.899155,-80.0,-67.78691,-51.214653,-49.16637,-71.84753,-80.0,-74.52835,-80.0,-77.70149,-80.0,-80.0,-69.44271,-54.36454,-57.436935,-80.0,-74.91976,-68.18382,-71.04534,-75.61933,-75.673676,-80.0,-80.0,-80.0,-78.59677,-78.221466,-69.84608,-75.22518,-80.0,-80.0,-80.0,-79.4934,-66.741714,-68.70975,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.35655,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
